City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
27,Georgetown,5.4112,100.3354,83.23,84,20,3.44,MY,2022-10-27 01:32:54,few clouds
28,Quelimane,-17.8786,36.8883,76.95,83,0,9.22,MZ,2022-10-27 01:36:46,clear sky
29,Puerto Colombia,10.9878,-74.9547,80.69,80,29,11.07,CO,2022-10-27 01:36:46,scattered clouds
30,Grindavik,63.8424,-22.4338,39.67,87,0,9.22,IS,2022-10-27 01:36:46,clear sky
31,Santiago De Cao,-7.9589,-79.2392,60.93,88,100,6.91,PE,2022-10-27 01:36:46,overcast clouds
32,Hithadhoo,-0.6,73.0833,82.2,75,35,7.67,MV,2022-10-27 01:36:47,scattered clouds
33,Olafsvik,64.8945,-23.7142,41.97,79,29,6.17,IS,2022-10-27 01:36:47,scattered clouds
34,Berga,60.392,5.328,54.88,94,75,14.97,NO,2022-10-27 01:36:47,broken clouds
35,Upernavik,72.7868,-56.1549,19.6,95,100,5.93,GL,2022-10-27 01:36:48,light snow
36,Huarmey,-10.0681,-78.1522,62.22,87,75,8.1,PE,2022-10-27 01:36:48,broken clouds
37,Parati,-23.2178,-44.7131,71.26,95,83,1.43,BR,2022-10-27 01:36:48,broken clouds
38,Jamestown,42.097,-79.2353,48.02,94,100,11.5,US,2022-10-27 01:36:49,mist
39,Luderitz,-26.6481,15.1594,59.04,80,0,8.79,NA,2022-10-27 01:36:49,clear sky
40,Itacare,-14.2775,-38.9967,72.21,90,49,3.11,BR,2022-10-27 01:36:49,scattered clouds
41,Clyde River,70.4692,-68.5914,25.03,100,100,26.46,CA,2022-10-27 01:36:50,light snow
42,Castro,-24.7911,-50.0119,58.82,61,4,3.15,BR,2022-10-27 01:36:50,clear sky
43,Mundi,22.0667,76.5,69.67,57,0,2.71,IN,2022-10-27 01:36:50,clear sky
44,Knysna,-34.0363,23.0471,60.93,78,4,4.65,ZA,2022-10-27 01:37:51,clear sky
45,Libreville,0.3925,9.4537,80.62,89,75,3.44,GA,2022-10-27 01:37:51,thunderstorm
46,Hermanus,-34.4187,19.2345,60.8,93,100,5.64,ZA,2022-10-27 01:37:51,overcast clouds
47,Port Elizabeth,-33.918,25.5701,62.89,94,20,8.05,ZA,2022-10-27 01:37:52,few clouds
48,Chicama,-7.8447,-79.1469,59.54,82,91,5.23,PE,2022-10-27 01:37:52,overcast clouds
49,Chake Chake,-5.2459,39.7666,74.35,88,9,3.94,TZ,2022-10-27 01:37:52,clear sky
50,Agirish,61.9247,63.0231,26.17,75,100,7.56,RU,2022-10-27 01:37:52,overcast clouds
51,Marawi,7.9986,124.2928,80.51,67,100,2.21,PH,2022-10-27 01:37:53,overcast clouds
52,Orda,57.1951,56.9091,25.9,84,26,5.93,RU,2022-10-27 01:37:53,scattered clouds
53,San Jose,37.3394,-121.895,64.27,52,40,9.22,US,2022-10-27 01:36:28,scattered clouds
54,Roquetas De Mar,36.7642,-2.6148,73.4,35,42,6.06,ES,2022-10-27 01:37:53,scattered clouds
55,Punta Arenas,-53.15,-70.9167,46.51,66,40,25.32,CL,2022-10-27 01:37:54,scattered clouds
56,Los Chiles,11.0333,-84.7167,74.26,94,100,3.38,CR,2022-10-27 01:37:54,overcast clouds
57,Torbay,47.6666,-52.7314,59.27,96,20,16.11,CA,2022-10-27 01:37:54,few clouds
58,Tiffin,41.1145,-83.178,48.33,78,23,10.0,US,2022-10-27 01:37:55,few clouds
59,Ostrovnoy,68.0531,39.5131,32.56,95,100,5.21,RU,2022-10-27 01:37:55,overcast clouds
60,Codrington,-38.2667,141.9667,57.22,93,100,13.49,AU,2022-10-27 01:37:55,light rain
61,Jumla,29.2747,82.1838,50.45,31,0,3.06,NP,2022-10-27 01:37:55,clear sky
62,Abnub,27.2696,31.1511,66.42,60,0,5.75,EG,2022-10-27 01:37:56,clear sky
63,Boddam,57.4667,-1.7833,52.18,82,50,20.8,GB,2022-10-27 01:37:56,scattered clouds
64,Cape Town,-33.9258,18.4232,66.38,84,0,13.0,ZA,2022-10-27 01:35:46,clear sky
65,Matagami,49.7502,-77.6328,32.11,100,100,14.97,CA,2022-10-27 01:37:56,snow
66,Narsaq,60.9167,-46.05,30.42,94,97,5.5,GL,2022-10-27 01:37:57,overcast clouds
67,Port Alfred,-33.5906,26.891,60.19,94,0,15.75,ZA,2022-10-27 01:37:57,clear sky
68,Umm Kaddadah,13.6017,26.6876,73.51,26,38,12.39,SD,2022-10-27 01:37:57,scattered clouds
69,Ihosy,-22.4,46.1167,64.15,93,32,3.58,MG,2022-10-27 01:37:58,scattered clouds
70,Santa Maria,-29.6842,-53.8069,70.9,64,40,12.66,BR,2022-10-27 01:37:58,moderate rain
71,Nizwa,22.9333,57.5333,73.9,27,0,3.18,OM,2022-10-27 01:37:58,clear sky
72,Honningsvag,70.9821,25.9704,33.55,86,75,2.3,NO,2022-10-27 01:37:59,broken clouds
73,Bambous Virieux,-20.3428,57.7575,72.21,83,40,8.05,MU,2022-10-27 01:37:59,light rain
74,Gulmarg,34.049,74.3921,40.01,40,0,1.45,IN,2022-10-27 01:37:59,clear sky
75,Masallatah,32.6167,14.0,69.73,66,10,5.86,LY,2022-10-27 01:38:00,clear sky
76,Abu Dhabi,24.4667,54.3667,80.62,61,0,2.3,AE,2022-10-27 01:35:55,clear sky
77,Mpika,-11.8343,31.4529,63.72,54,5,5.26,ZM,2022-10-27 01:38:00,clear sky
78,Jiwani,25.05,61.7417,82.92,43,0,9.89,PK,2022-10-27 01:38:01,clear sky
79,Walvis Bay,-22.9575,14.5053,60.1,95,5,4.03,NA,2022-10-27 01:38:01,clear sky
80,Iqaluit,63.7506,-68.5145,37.13,74,75,11.5,CA,2022-10-27 01:38:01,broken clouds
81,Beloha,-25.1667,45.05,67.96,94,6,3.96,MG,2022-10-27 01:38:02,clear sky
82,Sao Joao Da Barra,-21.6403,-41.0511,72.66,84,63,13.27,BR,2022-10-27 01:38:02,broken clouds
83,Sokoni,-6.4333,39.55,78.01,77,87,11.32,TZ,2022-10-27 01:38:03,overcast clouds
84,Sisimiut,66.9395,-53.6735,29.62,66,100,14.92,GL,2022-10-27 01:38:03,overcast clouds
85,Riyadh,24.6877,46.7219,64.54,26,42,5.06,SA,2022-10-27 01:38:03,scattered clouds
86,Qaanaaq,77.484,-69.3632,-0.22,71,7,9.37,GL,2022-10-27 01:38:04,clear sky
87,Axim,4.8699,-2.2405,77.43,89,100,5.82,GH,2022-10-27 01:38:04,overcast clouds
88,Saldanha,-33.0117,17.9442,60.55,93,100,18.28,ZA,2022-10-27 01:38:04,overcast clouds
89,Chelmsford,51.7357,0.4696,60.85,96,100,1.01,GB,2022-10-27 01:38:05,overcast clouds
90,Jalu,29.0331,21.5482,66.29,58,0,6.6,LY,2022-10-27 01:38:05,clear sky
91,Salinopolis,-0.6136,-47.3561,79.93,77,100,11.65,BR,2022-10-27 01:38:05,overcast clouds
92,Padang,-0.9492,100.3543,78.85,74,77,2.42,ID,2022-10-27 01:39:06,broken clouds
93,Rio Grande,-32.035,-52.0986,65.21,95,100,14.09,BR,2022-10-27 01:39:06,light rain
94,Hellin,38.5106,-1.701,64.56,45,54,2.17,ES,2022-10-27 01:39:07,broken clouds
95,Kavaratti,10.5669,72.642,81.34,59,4,8.28,IN,2022-10-27 01:39:07,clear sky
96,Taoudenni,22.6783,-3.9836,79.66,15,100,11.27,ML,2022-10-27 01:39:08,overcast clouds
97,Rawson,-43.3002,-65.1023,63.45,31,0,19.73,AR,2022-10-27 01:39:08,clear sky
98,Beyneu,45.3167,55.2,38.23,50,99,10.58,KZ,2022-10-27 01:39:08,overcast clouds
99,Contamana,-7.3333,-75.0167,81.66,63,100,2.48,PE,2022-10-27 01:39:09,overcast clouds
